,source,destination
0,carts,carts-db
1,catalogue,catalogue-db
2,orders,orders-db
3,queue-master,rabbitmq
4,shipping,rabbitmq
5,front-end,session-db
6,front-end,unknown
7,user,unknown
8,user,user-db
9,front-end,carts
10,orders,carts
11,unknown,carts
12,front-end,catalogue
13,unknown,catalogue
14,unknown,front-end
15,front-end,orders
16,unknown,orders
17,orders,payment
18,unknown,payment
19,unknown,queue-master
20,orders,shipping
21,unknown,shipping
22,front-end,user
23,orders,user
24,unknown,user
25,carts,node3
26,carts-db,node1
27,catalogue,node2
28,catalogue-db,node2
29,front-end,node1
30,istio-proxy,node1
31,istio-proxy,node2
32,istio-proxy,node3
33,orders,node3
34,orders-db,node2
35,payment,node1
36,queue-master,node3
37,rabbitmq,node2
38,rabbitmq-exporter,node2
39,session-db,node1
40,shipping,node3
41,user,node1
42,user-db,node2
